year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade
2015,Ameer Abdullah,Ameer,Abdullah,RB,5,9.0000,69.0000,205,0.0000,0.0000,4.6000,0.0000,0.0000,3.9500,6.7900,42.5000,130,24,0,Nebraska,,0,0,0,5.9
2015,Nelson Agholor,Nelson,Agholor,WR,6,0.0000,72.0000,198,0.0000,0.0000,4.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0,12,0,USC,,0,0,0,5.6
2015,Jay Ajayi,Jay,Ajayi,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.5700,0.0000,0.0000,4.1000,7.1000,39.0000,121,19,0,Boise St.,,0,0,0,6.0
2015,Kwon Alexander,Kwon,Alexander,OLB,6,1.0000,73.0000,227,0.0000,0.0000,4.5500,0.0000,0.0000,4.2000,7.1400,36.0000,121,24,0,LSU,,0,0,0,5.4
2015,Mario Alford,Mario,Alford,WR,5,8.0000,68.0000,180,0.0000,0.0000,4.4300,0.0000,0.0000,4.0700,6.6400,34.0000,121,13,0,West Virginia,,0,0,0,5.3
2015,Javorius Allen,Javorius,Allen,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.5300,0.0000,0.0000,4.2800,6.9600,35.5000,121,11,0,USC,,0,0,0,5.3
2015,Adrian Amos,Adrian,Amos,FS,6,0.0000,72.0000,218,0.0000,0.0000,4.5600,0.0000,0.0000,4.0300,7.0900,35.5000,122,0,0,Penn St.,,0,0,0,5.5
2015,Dres Anderson,Dres,Anderson,WR,6,1.0000,73.0000,187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,13,0,Utah,,0,0,0,5.5
2015,Henry Anderson,Henry,Anderson,DE,6,6.0000,78.0000,294,0.0000,0.0000,5.0300,0.0000,0.0000,4.1900,7.2000,30.0000,111,0,0,Stanford,,0,0,0,5.6
2015,Rory 'Busta' Anderson,Rory 'Busta',Anderson,TE,6,5.0000,77.0000,244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,South Carolina,,0,0,0,5.5
2015,Stephone Anthony,Stephone,Anthony,ILB,6,3.0000,75.0000,243,0.0000,0.0000,4.5600,0.0000,0.0000,4.0300,7.0700,37.0000,122,23,0,Clemson,,0,0,0,5.4
2015,Arik Armstead,Arik,Armstead,DT,6,7.0000,79.0000,292,0.0000,0.0000,5.1000,0.0000,0.0000,4.5300,7.5700,34.0000,117,24,0,Oregon,,0,0,0,6.2
2015,Cameron Artis-Payne,Cameron,Artis-Payne,RB,5,10.0000,70.0000,212,0.0000,0.0000,4.5300,0.0000,0.0000,0.0000,7.1300,36.5000,118,0,0,Auburn,,0,0,0,5.4
2015,Neiron Ball,Neiron,Ball,OLB,6,2.0000,74.0000,236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,22,0,Florida,,0,0,0,4.9
2015,Tavaris Barnes,Tavaris,Barnes,DE,6,4.0000,76.0000,282,0.0000,0.0000,4.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0,22,0,Clemson,,0,0,0,5.0
2015,Wil Baumann,Wil,Baumann,P,6,6.0000,78.0000,187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,N.C. State,,0,0,0,5.1
2015,Vic Beasley,Vic,Beasley,OLB,6,3.0000,75.0000,246,0.0000,0.0000,4.5300,0.0000,0.0000,4.1500,6.9100,41.0000,130,35,0,Clemson,,0,0,0,6.1
2015,Blake Bell,Blake,Bell,TE,6,6.0000,78.0000,252,0.0000,0.0000,4.8000,0.0000,0.0000,4.3200,0.0000,33.0000,116,14,0,Oklahoma,,0,0,0,5.2
2015,Kenny Bell,Kenny,Bell,WR,6,1.0000,73.0000,197,0.0000,0.0000,4.4200,0.0000,0.0000,4.1500,6.6600,41.5000,129,7,0,Nebraska,,0,0,0,5.4
2015,Bryan Bennett,Bryan,Bennett,QB,6,2.0000,74.0000,211,0.0000,0.0000,4.8100,0.0000,0.0000,4.2000,7.1300,37.0000,125,0,0,Southeastern Louisiana,,0,0,0,0.0
2015,Michael Bennett,Michael,Bennett,DT,6,2.0000,74.0000,293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Ohio St.,,0,0,0,6.0
2015,E.J. Bibbs,E.J.,Bibbs,TE,6,2.0000,74.0000,258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,20,0,Iowa St.,,0,0,0,5.0
2015,Angelo Blackson,Angelo,Blackson,DT,6,4.0000,76.0000,318,0.0000,0.0000,5.0200,0.0000,0.0000,4.5700,7.5000,31.0000,101,20,0,Auburn,,0,0,0,5.0
2015,Al Bond,Al,Bond,OG,6,4.0000,76.0000,303,0.0000,0.0000,5.5700,0.0000,0.0000,4.6500,7.9000,23.5000,90,22,0,Memphis,,0,0,0,5.0
2015,Detrick Bonner,Detrick,Bonner,FS,6,0.0000,72.0000,207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,15,0,Virginia Tech,,0,0,0,5.2
