
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Rahim Abdullah,CLE,24,,13,4,,,,,,,,,,,2.0,16,4,
2,Donnie Abraham*,TAM,27,LCB,16,16,7,82,0,23,0,1,0,0,0,0,,46,11,
3,John Abraham,NYJ,22,,6,0,,,,,,2,0,0,0,0,4.5,10,4,
4,Sam Adams*,BAL,27,LDT,16,16,,,,,,0,0,1,0,0,2.0,23,4,
5,Ray Agnew,STL,33,LDT,15,15,,,,,,,,,,,4.0,24,8,
6,Chidi Ahanotu,TAM,30,LDE,16,16,,,,,,2,0,1,0,0,3.5,28,19,
7,Ethan Albright,BUF,29,,16,0,,,,,,0,0,1,19,0,,,,
8,Allen Aldridge,DET,28,LLB,16,14,1,4,0,4,0,2,0,1,0,0,2.0,41,18,
9,Brent Alexander,PIT,29,FS,16,16,3,31,0,15,0,1,0,1,0,0,1.5,61,15,
10,Elijah Alexander,OAK,30,RLB,16,16,,,,,,,,,,,2.0,50,17,
11,Eric Allen,OAK,35,RCB,16,15,6,145,3,50,0,,,,,,1.0,62,6,
12,Larry Allen*+,DAL,29,LG,16,16,,,,,,0,0,2,0,0,,,,
13,Taje Allen,STL,27,,11,1,,,,,,,,,,,,1,0,
14,Mike Alstott*,TAM,27,FB,13,13,,,,,,0,3,1,0,0,,,,
15,Ashley Ambrose,ATL,30,RCB,16,16,4,139,1,42,0,1,0,0,0,0,,37,1,
16,Jamal Anderson,ATL,28,RB,16,16,,,,,,0,6,1,0,0,,,,
17,Rashard Anderson,CAR,23,,12,0,,,,,,,,,,,,13,1,
18,Willie Anderson,CIN,25,RT,16,16,,,,,,0,0,1,0,0,,,,
19,Joe Andruzzi,NWE,25,LG,11,11,,,,,,0,0,1,2,0,,,,
20,Lester Archambeau,DEN,33,,3,0,,,,,,,,,,,,1,0,
21,Jessie Armstead*,NYG,30,RLB,16,16,1,-2,0,-2,0,1,0,1,0,0,5.0,76,26,
22,Trace Armstrong*,MIA,35,,16,0,,,,,,7,0,0,0,0,16.5,24,10,
23,LaVar Arrington,WAS,22,RLB,16,11,,,,,,,,,,,4.0,43,9,
24,Corey Atkins,ATL,24,,12,0,,,,,,,,,,,,5,1,
25,Larry Atkins,KAN,25,,15,0,,,,,,0,0,1,0,0,,,,
26,Billy Austin,IND,25,,16,0,,,,,,,,,,,,7,2,
27,Darnell Autry,PHI,24,rb,11,7,,,,,,0,2,1,0,0,,,,
28,Jerry Azumah,CHI,23,,14,4,1,2,0,2,0,1,0,0,0,0,,21,5,
29,Brad Badger,MIN,25,,16,0,,,,,,0,0,1,0,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
30,Champ Bailey*,WAS,22,LCB,16,16,5,48,0,48,0,0,0,1,0,0,,52,5,
31,Robert Bailey,BAL,32,,16,0,,,,,,1,0,1,27,0,,19,0,
32,Antonio Banks,MIN,27,,14,0,,,,,,,,,,,,4,0,
33,Tony Banks,BAL,27,QB,11,8,,,,,,0,5,2,-2,0,,,,
34,Michael Bankston,CIN,30,RDE/L,16,14,,,,,,,,,,,,50,14,
35,Ronde Barber,TAM,25,RCB,16,16,2,46,1,37,0,1,0,1,24,1,5.5,69,13,
36,Shawn Barber,WAS,25,LLB,14,14,,,,,,0,0,3,0,0,2.0,56,7,
37,Tiki Barber,NYG,25,RB,16,12,,,,,,0,9,5,0,0,,,,
38,Roy Barker,MIN,31,,4,0,,,,,,,,,,,,1,0,
39,Tom Barndt,CIN,28,rdt,14,5,,,,,,1,0,1,0,0,,7,5,
40,Rashidi Barnes,CLE,22,,14,0,,,,,,,,,,,,8,6,
41,David Barrett,ARI,23,,16,0,,,,,,1,0,1,0,0,,7,2,
42,Micheal Barrow,NYG,30,MLB,15,15,1,7,0,7,0,1,0,1,0,0,3.5,72,22,
43,William Bartee,KAN,23,,16,3,,,,,,,,,,,1.0,23,4,
44,Eric Barton,OAK,23,,4,0,,,,,,,,,,,,4,2,
45,Mike Bartrum,PHI,30,,16,0,,,,,,0,0,1,0,0,,,,
46,Charlie Batch,DET,26,QB,15,15,,,,,,0,6,1,-5,0,,,,
47,Michael Bates*,CAR,31,,16,0,,,,,,0,4,1,0,0,,,,
48,Ainsley Battles,PIT,22,,16,1,,,,,,0,1,2,-1,0,1.0,13,4,
49,Fred Baxter,NYJ,29,te,9,6,,,,,,0,0,1,0,0,,,,
50,Robert Bean,CIN,22,,12,4,1,0,0,0,0,,,,,,,17,2,
51,Aaron Beasley,JAX,27,RCB,14,14,1,39,0,39,0,1,0,1,0,0,5.0,45,7,
52,Rogers Beckett,SDG,23,,16,3,1,7,0,7,0,,,,,,1.0,28,11,
53,Marcus Bell,SEA,23,,16,0,1,30,0,30,0,,,,,,,2,0,
54,Jay Bellamy,SEA,28,FS,16,16,4,132,1,84,0,2,0,0,0,0,2.0,69,18,
55,Jason Belser,IND,30,FS,16,16,,,,,,1,0,1,0,0,5.0,80,16,
56,Brandon Bennett,CIN,27,,16,0,,,,,,0,2,1,0,0,,,,
57,Cornelius Bennett,IND,35,LLB,16,15,,,,,,0,0,1,0,0,3.0,36,14,
58,Tommy Bennett,ARI,27,,11,0,,,,,,,,,,,,1,1,
59,Jerome Bettis,PIT,28,RB,16,16,,,,,,0,1,1,1,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
60,Josh Bidwell,GNB,24,,16,0,,,,,,0,1,1,0,0,,,,
61,Greg Biekert,OAK,31,MLB,16,16,,,,,,0,0,2,0,0,2.0,100,34,
62,Blaine Bishop*,TEN,30,SS,16,16,,,,,,1,0,0,0,0,2.5,57,27,
63,Eric Bjornson,NWE,29,te,8,6,,,,,,0,0,1,0,0,,,,
64,Jeff Blake,NOR,30,QB,11,11,,,,,,0,7,3,-2,0,,,,
65,Drew Bledsoe,NWE,28,QB,16,16,,,,,,0,9,3,-20,0,,,,
66,Tony Blevins,IND,25,,16,1,,,,,,1,0,1,0,0,,35,9,
67,Dre' Bly,STL,23,,16,3,3,44,0,22,0,0,1,1,0,0,1.0,39,4,
68,Marty Booker,CHI,24,wr,15,7,,,,,,0,2,1,0,0,,,,
69,Michael Booker,TEN,25,,15,1,1,2,0,2,0,,,,,,,10,2,
70,Vaughn Booker,CIN,32,LDE,9,9,,,,,,,,,,,,13,4,
71,Dorian Boose,NYJ,26,,10,0,,,,,,,,,,,,5,3,
72,Jason Bostic,PHI,24,,16,0,,,,,,0,1,0,0,0,,1,0,
73,David Boston,ARI,22,WR,16,16,,,,,,0,2,1,0,0,,,,
74,Peter Boulware,BAL,26,LLB,16,15,,,,,,2,0,0,0,0,7.0,33,6,
75,Joe Bowden,DAL,30,,16,0,,,,,,,,,,,,16,4,
76,Matt Bowen,STL,24,,16,2,,,,,,,,,,,,14,2,
77,David Bowens,GNB,23,,14,0,,,,,,0,0,1,0,0,3.5,19,7,
78,Tim Bowens,MIA,27,LDT,15,15,1,0,0,0,0,,,,,,2.5,29,11,
79,Stephen Boyd*,DET,28,MLB,15,15,1,0,0,0,0,1,0,1,0,0,0.5,76,63,
80,Brant Boyer,JAX,29,rlb,12,5,1,12,0,12,0,,,,,,3.5,19,4,
81,Tony Brackens,JAX,26,RDE,16,16,1,7,0,7,0,2,0,2,15,0,7.5,54,9,
82,Ronnie Bradford,ATL,30,FS,16,15,3,25,0,13,0,1,0,0,0,0,,57,12,
83,Calvin Branch,OAK,26,,16,0,,,,,,0,0,1,6,0,,7,0,
84,Chad Bratzke,IND,29,RDE,16,16,,,,,,1,0,1,0,0,7.5,45,19,1
85,O.J. Brigance,BAL,31,,16,0,,,,,,0,0,1,0,0,,0,1,
86,Bubby Brister,MIN,38,,2,0,,,,,,0,1,1,0,0,,,,
87,Lorenzo Bromell,MIA,25,,8,0,,,,,,,,,,,2.0,11,1,
88,Zack Bronson,SFO,26,fs,9,7,3,75,0,43,0,2,0,0,0,0,,31,7,
89,Keith Brooking,ATL,25,llb,5,5,,,,,,1,0,0,0,0,1.0,28,8,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
90,Bobby Brooks,OAK,24,,16,0,,,,,,,,,,,,6,1,
91,Derrick Brooks*+,TAM,27,RLB,16,16,1,34,1,34,0,5,0,0,0,0,1.0,125,21,
92,Chad Brown,SEA,30,RLB,16,16,1,0,0,0,0,2,0,3,16,1,6.0,71,23,
93,Cornell Brown,BAL,25,,16,1,,,,,,2,1,0,0,0,3.0,13,6,
94,Corwin Brown,DET,30,,14,4,2,12,0,12,0,1,0,0,0,0,0.5,21,10,
95,Courtney Brown,CLE,22,LDE,16,16,,,,,,0,0,1,0,0,4.5,61,8,
96,Eric Brown,DEN,25,FS,16,16,3,9,0,9,0,0,0,3,8,0,1.0,77,14,
97,Fakhir Brown,SDG,23,LCB,9,8,1,0,0,0,0,,,,,,,28,7,
98,J.B. Brown,DET,33,,3,0,,,,,,,,,,,,3,1,
99,Lomas Brown,NYG,37,LT,16,16,,,,,,0,0,1,0,0,,,,
100,Mike Brown,CHI,22,FS,16,16,1,35,1,35,0,1,0,1,12,0,,80,17,
101,Ray Brown,SFO,38,LG,16,16,,,,,,0,0,1,0,0,,,,
102,John Browning,KAN,27,RDT/L,16,16,1,0,0,0,0,0,0,1,0,0,6.0,38,11,
103,Mark Brunell,JAX,30,QB,16,16,,,,,,0,7,3,-2,0,,,,
104,Tedy Bruschi,NWE,27,ROLB,16,16,,,,,,1,0,0,0,0,1.0,73,33,
105,Fernando Bryant,JAX,23,LCB,14,14,1,0,0,0,0,0,0,1,5,0,,37,6,
106,Junior Bryant,SFO,29,,3,3,,,,,,,,,,,,9,0,
107,Tony Bryant,OAK,24,LDE,16,16,,,,,,2,0,1,3,0,5.5,25,13,
108,Ray Buchanan,ATL,29,LCB,16,16,6,114,0,60,0,0,0,2,1,0,,69,11,
109,Terrell Buckley,DEN,29,RCB,16,16,6,110,1,33,0,,,,,,,35,3,
110,Brentson Buckner,SFO,29,RDT,16,16,,,,,,,,,,,7.0,41,14,
111,Keith Bulluck,TEN,23,,16,1,1,8,1,8,0,1,0,0,0,0,,12,6,
112,Jim Bundren,CLE,26,LG,11,9,,,,,,0,0,1,0,0,,,,
113,Tom Burke,ARI,24,,2,0,,,,,,,,,,,,2,1,
114,Rob Burnett,BAL,33,LDE,16,16,1,3,0,3,0,3,0,5,0,0,10.5,40,9,
115,Keith Burns,DEN,28,,13,0,,,,,,2,0,1,0,0,,1,0,
116,Jeff Burris,IND,28,LCB,16,16,4,38,1,27,0,,,,,,3.0,69,8,
117,John Burrough,MIN,28,lde,14,6,,,,,,,,,,,2.0,19,10,
118,Shane Burton,NYJ,26,RDE,16,16,,,,,,0,0,1,4,0,1.0,31,18,
119,Devin Bush,STL,27,SS,13,12,,,,,,0,0,1,15,1,1.0,50,17,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
