
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Khalid Abdullah,CIN,24,,16,0,,,,,,,,,,,,8,2,
2,Rabih Abdullah,CHI,28,,15,0,,,,,,0,0,1,0,0,,15,4,
3,Donnie Abraham,NYJ,30,,8,2,1,12,0,12,1,,,,,,,11,0,
4,John Abraham,NYJ,25,rde,7,6,,,,,,1,0,0,0,0,6.0,23,9,
5,Anthony Adams,SFO,23,,14,1,0,0,0,0,4,,,,,,1.5,20,6,
6,Blue Adams,JAX,24,,8,0,,,,,,,,,,,,3,1,
7,Flozell Adams*,DAL,28,LT,16,16,,,,,,0,0,1,0,0,,,,
8,Keith Adams,PHI,24,,15,0,,,,,,,,,,,,17,2,
9,Sam Adams,BUF,30,LDT,15,15,1,37,1,37,3,0,0,1,0,0,5.0,24,9,
10,Chidi Ahanotu,SFO,33,,16,1,0,0,0,0,2,0,0,1,1,0,4.0,21,6,
11,Sam Aiken,BUF,23,,5,0,,,,,,,,,,,,2,0,
12,David Akers,PHI,29,,16,0,,,,,,,,,,,,4,0,
13,Chris Akins,NWE,27,,12,0,0,0,0,0,1,,,,,,,14,6,
14,Brent Alexander,PIT,32,FS,16,16,4,63,0,34,6,0,0,2,2,0,1.0,63,22,
15,Shaun Alexander*,SEA,26,RB,16,15,,,,,,0,4,2,0,0,,,,
16,Brian Allen,CAR,25,,14,4,0,0,0,0,2,0,0,1,0,0,1.0,25,10,
17,David Allen,JAX,25,,14,0,,,,,,0,2,1,0,0,,,,
18,James Allen,NOR,24,,15,1,0,0,0,0,1,1,0,0,0,0,,16,1,1
19,Kenderick Allen,NOR,25,,10,1,,,,,,,,,,,,10,2,
20,Will Allen,NYG,25,LCB,12,12,2,23,0,22,14,0,0,1,0,0,,35,7,
21,Mike Alstott,TAM,30,,4,3,,,,,,0,0,1,0,0,,,,
