
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Rich Gannon*+,OAK,37,QB,16,16,11-5-0,418,618,67.6,4689,26,4.2,10,1.6,75,7.6,7.7,11.2,293.1,97.3,36,214,6.84,6.95,5.5,1,1
2,Drew Bledsoe*,BUF,30,QB,16,16,8-8-0,375,610,61.5,4359,24,3.9,15,2.5,73,7.1,6.8,11.6,272.4,86.0,54,369,6.01,5.72,8.1,2,4
3,Tom Brady,NWE,25,QB,16,16,9-7-0,373,601,62.1,3764,28,4.7,14,2.3,49,6.3,6.1,10.1,235.3,85.7,31,190,5.66,5.54,4.9,2,3
4,Peyton Manning*,IND,26,QB,16,16,10-6-0,392,591,66.3,4200,27,4.6,19,3.2,69,7.1,6.6,10.7,262.5,88.8,23,145,6.60,6.09,3.7,4,5
5,Brett Favre*,GNB,33,QB,16,16,12-4-0,341,551,61.9,3658,27,4.9,16,2.9,85,6.6,6.3,10.7,228.6,85.6,26,188,6.01,5.70,4.5,3,3
6,Daunte Culpepper,MIN,25,QB,16,16,6-10-0,333,549,60.7,3853,18,3.3,23,4.2,61,7.0,5.8,11.6,240.8,75.3,47,244,6.06,4.92,7.9,3,4
7,Kerry Collins,NYG,30,QB,16,16,10-6-0,335,545,61.5,4073,19,3.5,14,2.6,82,7.5,7.0,12.2,254.6,85.4,24,152,6.89,6.45,4.2,5,5
8,Jake Plummer,ARI,28,QB,16,16,5-11-0,284,530,53.6,2972,18,3.4,20,3.8,80,5.6,4.6,10.5,185.8,65.7,36,248,4.81,3.86,6.4,2,4
9,Aaron Brooks,NOR,26,QB,16,16,9-7-0,283,528,53.6,3572,27,5.1,15,2.8,64,6.8,6.5,12.6,223.3,80.1,36,236,5.91,5.68,6.4,3,3
10,Jeff Garcia*,SFO,32,QB,16,16,10-6-0,328,528,62.1,3344,21,4.0,10,1.9,76,6.3,6.3,10.2,209.0,85.6,17,93,5.97,5.91,3.1,3,5
11,Drew Brees,SDG,23,QB,16,16,8-8-0,320,526,60.8,3284,17,3.2,16,3.0,52,6.2,5.5,10.3,205.3,76.9,24,180,5.64,4.95,4.4,2,4
12,Steve McNair,TEN,29,QB,16,16,11-5-0,301,492,61.2,3387,22,4.5,15,3.0,55,6.9,6.4,11.3,211.7,84.0,21,121,6.37,5.91,4.1,4,4
13,Jon Kitna,CIN,30,QB,14,12,2-10-0,294,473,62.2,3178,16,3.4,16,3.4,72,6.7,5.9,10.8,227.0,79.1,24,159,6.07,5.27,4.8,1,1
14,Trent Green,KAN,32,QB,16,16,8-8-0,287,470,61.1,3690,26,5.5,13,2.8,99,7.9,7.7,12.9,230.6,92.6,26,141,7.16,7.02,5.2,4,4
