Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Brett Favre,GNB,36,QB,16,16,4/12/2000,372,607,61.3,3881,20,3.3,29,4.8,59,6.4,4.9,10.4,242.6,70.9,24,170,5.88,4.45,3.8,1,1
2,Kerry Collins,OAK,33,QB,15,15,4/11/2000,302,565,53.5,3759,20,3.5,12,2.1,79,6.7,6.4,12.4,250.6,77.3,39,261,5.79,5.56,6.5,1,1
3,Eli Manning,NYG,24,QB,16,16,11/5/2000,294,557,52.8,3762,24,4.3,17,3.1,78,6.8,6.2,12.8,235.1,75.9,28,184,6.12,5.63,4.8,1,2
4,Tom Brady*,NWE,28,QB,16,16,10/6/2000,334,530,63,4110,26,4.9,14,2.6,71,7.8,7.5,12.3,256.9,92.3,26,188,7.05,6.86,4.7,3,4
5,Carson Palmer*,CIN,26,QB,16,16,11/5/2000,345,509,67.8,3836,32,6.3,12,2.4,70,7.5,7.7,11.1,239.8,101.1,19,105,7.07,7.26,3.6,1,3
6,Trent Green*,KAN,35,QB,16,16,10/6/2000,317,507,62.5,4014,17,3.4,10,2,60,7.9,7.7,12.7,250.9,90.1,32,204,7.07,6.86,5.9,2,3
7,Drew Brees,SDG,26,QB,16,16,9/7/2000,323,500,64.6,3576,24,4.8,15,3,54,7.2,6.8,11.1,223.5,89.2,27,223,6.36,5.99,5.1,2,2
8,Drew Bledsoe,DAL,33,QB,16,16,9/7/2000,300,499,60.1,3639,23,4.6,17,3.4,71,7.3,6.7,12.1,227.4,83.7,49,295,6.1,5.55,8.9,4,5
9,Gus Frerotte,MIA,34,QB,16,15,9/6/2000,257,494,52,2996,18,3.6,13,2.6,60,6.1,5.6,11.7,187.3,71.9,26,158,5.46,5.03,5,0,1
10,Steve McNair*,TEN,32,QB,14,14,4/10/2000,292,476,61.3,3161,16,3.4,11,2.3,57,6.6,6.3,10.8,225.8,82.4,20,134,6.1,5.75,4,0,1
11,Jake Plummer*,DEN,31,QB,16,16,13-3-0,277,456,60.7,3366,18,3.9,7,1.5,72,7.4,7.5,12.2,210.4,90.2,22,135,6.76,6.85,4.6,1,2
12,Mark Brunell,WAS,35,QB,16,15,9/6/2000,262,454,57.7,3050,23,5.1,10,2.2,78,6.7,6.7,11.6,190.6,85.9,27,213,5.9,5.92,5.6,2,3
13,Peyton Manning*+,IND,29,QB,16,16,14-2-0,305,453,67.3,3747,28,6.2,10,2.2,80,8.3,8.5,12.3,234.2,104.1,17,81,7.8,8.03,3.6,1,1
14,Matt Hasselbeck*,SEA,30,QB,16,16,13-3-0,294,449,65.5,3459,24,5.3,9,2,56,7.7,7.9,11.8,216.2,98.2,24,154,6.99,7.15,5.1,2,2
15,Jake Delhomme*,CAR,30,QB,16,16,11/5/2000,262,435,60.2,3421,24,5.5,16,3.7,80,7.9,7.3,13.1,213.8,88.1,28,214,6.93,6.41,6,3,3
16,Aaron Brooks,NOR,29,QB,13,13,3/10/2000,240,431,55.7,2882,13,3,17,3.9,66,6.7,5.5,12,221.7,70,33,202,5.78,4.69,7.1,1,2
17,David Carr,HOU,26,QB,16,16,2/14/2000,256,423,60.5,2488,14,3.3,11,2.6,53,5.9,5.4,9.7,155.5,77.2,68,424,4.2,3.77,13.8,0,1
18,Michael Vick*,ATL,25,QB,15,15,8/7/2000,214,387,55.3,2412,15,3.9,13,3.4,58,6.2,5.5,11.3,160.8,73.1,33,201,5.26,4.59,7.9,0,1
19,Kurt Warner,ARI,34,QB,10,10,2/8/2000,242,375,64.5,2713,11,2.9,9,2.4,63,7.2,6.7,11.2,271.3,85.8,23,158,6.42,5.95,5.8,2,2
20,Kyle Orton,CHI,23,QB,15,15,10/5/2000,190,368,51.6,1869,9,2.4,13,3.5,54,5.1,4,9.8,124.6,59.7,30,190,4.22,3.2,7.5,0,1
21,Donovan McNabb,PHI,29,QB,9,9,4/5/2000,211,357,59.1,2507,16,4.5,9,2.5,91,7,6.8,11.9,278.6,85,19,112,6.37,6.14,5.1,0,2
22,Trent Dilfer,CLE,33,QB,11,11,4/7/2000,199,333,59.8,2321,11,3.3,12,3.6,80,7,6,11.7,211,76.9,23,139,6.13,5.23,6.5,1,1
23,Joey Harrington,DET,27,QB,12,11,4/7/2000,188,330,57,2021,12,3.6,12,3.6,86,6.1,5.2,10.8,168.4,72,24,136,5.32,4.48,6.8,1,1
24,Chris Simms,TAM,25,QB,11,10,6/4/2000,191,313,61,2035,10,3.2,7,2.2,78,6.5,6.1,10.7,185,81.4,29,205,5.35,5.01,8.5,3,3
25,Byron Leftwich,JAX,25,QB,11,11,8/3/2000,175,302,57.9,2123,15,5,5,1.7,45,7,7.3,12.1,193,89.3,23,110,6.19,6.42,7.1,2,3
26,Brad Johnson,MIN,37,QB,15,9,7/2/2000,184,294,62.6,1885,12,4.1,4,1.4,80,6.4,6.6,10.2,125.7,88.9,23,134,5.52,5.71,7.3,0,2
27,Kyle Boller,BAL,24,QB,9,9,4/5/2000,171,293,58.4,1799,11,3.8,12,4.1,47,6.1,5,10.5,199.9,71.8,23,146,5.23,4.22,7.3,2,3
28,Marc Bulger,STL,28,QB,8,8,2/6/2000,192,287,66.9,2297,14,4.9,9,3.1,57,8,7.6,12,287.1,94.4,26,188,6.74,6.34,8.3,0,1
