
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Brett Favre,GNB,37,QB,16,16,8-8-0,343,613,56.0,3885,18,2.9,18,2.9,82,6.3,5.6,11.3,242.8,72.7,39.85,21,134,5.92,5.21,3.3,1,1
2,Jon Kitna,DET,34,QB,16,16,3-13-0,372,596,62.4,4208,21,3.5,22,3.7,60,7.1,6.1,11.3,263.0,79.9,35.26,63,388,5.80,4.93,9.6,1,1
3,Marc Bulger*,STL,29,QB,16,16,8-8-0,370,588,62.9,4301,24,4.1,8,1.4,67,7.3,7.5,11.6,268.8,92.9,53.51,49,366,6.18,6.37,7.7,2,3
4,Peyton Manning*,IND,30,QB,16,16,12-4-0,362,557,65.0,4397,31,5.6,9,1.6,68,7.9,8.3,12.1,274.8,101.0,85.42,14,86,7.55,7.93,2.5,4,4
5,Drew Brees*+,NOR,27,QB,16,16,10-6-0,356,554,64.3,4418,26,4.7,11,2.0,86,8.0,8.0,12.4,276.1,96.2,66.57,18,105,7.54,7.58,3.1,1,2
6,Eli Manning,NYG,25,QB,16,16,8-8-0,301,522,57.7,3244,24,4.6,18,3.4,55,6.2,5.6,10.8,202.8,77.0,43.45,25,186,5.59,4.99,4.6,2,2
7,Carson Palmer*,CIN,27,QB,16,16,8-8-0,324,520,62.3,4035,28,5.4,13,2.5,74,7.8,7.7,12.5,252.2,93.9,54.14,36,233,6.84,6.79,6.5,2,3
8,Tom Brady,NWE,29,QB,16,16,12-4-0,319,516,61.8,3529,24,4.7,12,2.3,62,6.8,6.7,11.1,220.6,87.9,58.17,26,175,6.19,6.08,4.8,3,3
9,Chad Pennington,NYJ,30,QB,16,16,10-6-0,313,485,64.5,3352,17,3.5,16,3.3,71,6.9,6.1,10.7,209.5,82.6,55.42,30,172,6.17,5.44,5.8,1,2
10,Rex Grossman,CHI,26,QB,16,16,13-3-0,262,480,54.6,3193,23,4.8,20,4.2,62,6.7,5.7,12.2,199.6,73.9,39.31,21,142,6.09,5.21,4.2,2,3
11,Ben Roethlisberger,PIT,24,QB,15,15,7-8-0,280,469,59.7,3513,18,3.8,23,4.9,67,7.5,6.1,12.5,234.2,75.4,45.87,46,280,6.28,4.97,8.9,2,3
12,Steve McNair,BAL,33,QB,16,16,13-3-0,295,468,63.0,3050,16,3.4,12,2.6,87,6.5,6.0,10.3,190.6,82.5,56.78,14,84,6.15,5.70,2.9,3,3
13,Philip Rivers*,SDG,25,QB,16,16,14-2-0,284,460,61.7,3388,22,4.8,9,2.0,57,7.4,7.4,11.9,211.8,92.0,62.25,27,144,6.66,6.73,5.5,4,4
14,David Carr,HOU,27,QB,16,16,6-10-0,302,442,68.3,2767,11,2.5,12,2.7,53,6.3,5.5,9.2,172.9,82.1,39.8,41,240,5.23,4.57,8.5,1,3
15,Alex Smith,SFO,22,QB,16,16,7-9-0,257,442,58.1,2890,16,3.6,16,3.6,75,6.5,5.6,11.2,180.6,74.8,32.68,35,202,5.64,4.80,7.3,1,2
16,Brad Johnson,MIN,38,QB,15,14,6-8-0,270,439,61.5,2750,9,2.1,15,3.4,46,6.3,5.1,10.2,183.3,72.0,27.14,29,200,5.45,4.39,6.2,2,3
17,Jake Delhomme,CAR,31,QB,13,13,7-6-0,263,431,61.0,2805,17,3.9,11,2.6,72,6.5,6.1,10.7,215.8,82.6,47.49,22,167,5.82,5.48,4.9,2,2
18,J.P. Losman,BUF,25,QB,16,16,7-9-0,268,429,62.5,3051,19,4.4,14,3.3,83,7.1,6.5,11.4,190.7,84.9,38.88,47,332,5.71,5.19,9.9,1,3
19,Charlie Frye,CLE,25,QB,13,13,4-9-0,252,392,64.3,2454,10,2.6,17,4.3,75,6.3,4.8,9.7,188.8,72.2,27.46,44,262,5.03,3.73,10.1,,
20,Joey Harrington,MIA,28,QB,11,11,5-6-0,223,388,57.5,2236,12,3.1,15,3.9,48,5.8,4.6,10.0,203.3,68.2,35.66,15,116,5.26,4.18,3.7,0,0
21,Michael Vick,ATL,26,QB,16,16,7-9-0,204,388,52.6,2474,20,5.2,13,3.4,55,6.4,5.9,12.1,154.6,75.7,49.27,45,303,5.01,4.59,10.4,0,1
