Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
1,Drew Brees,NOR,28,QB,16,16,7/9/2000,440,652,67.5,4423,28,4.3,18,2.8,58,6.8,6.4,10.1,276.4,89.4,61.45,16,109,6.46,6.08,2.4,1,1,2007
2,Tom Brady*+,NWE,30,QB,16,16,16-0-0,398,578,68.9,4806,50,8.7,8,1.4,69,8.3,9.4,12.1,300.4,117.2,84.52,21,128,7.81,8.88,3.5,4,4,2007
3,Carson Palmer,CIN,28,QB,16,16,7/9/2000,373,575,64.9,4131,26,4.5,20,3.5,70,7.2,6.5,11.1,258.2,86.7,59.29,17,119,6.78,6.14,2.9,2,2,2007
4,Matt Hasselbeck*,SEA,32,QB,16,16,10/6/2000,352,562,62.6,3966,28,5,12,2.1,65,7.1,7.1,11.3,247.9,91.4,52.29,33,204,6.32,6.36,5.5,3,3,2007
5,Jon Kitna,DET,35,QB,16,16,7/9/2000,355,561,63.3,4068,18,3.2,20,3.6,91,7.3,6.3,11.5,254.3,80.9,44.36,51,320,6.12,5.24,8.3,2,3,2007
6,Brett Favre*,GNB,38,QB,16,16,13-3-0,356,535,66.5,4155,28,5.2,15,2.8,82,7.8,7.6,11.7,259.7,95.7,60.63,15,93,7.39,7.18,2.7,2,4,2007
7,Eli Manning,NYG,26,QB,16,16,10/6/2000,297,529,56.1,3336,23,4.3,20,3.8,60,6.3,5.5,11.2,208.5,73.9,39.19,27,217,5.61,4.82,4.9,5,6,2007
8,Derek Anderson*,CLE,24,QB,16,15,10/5/2000,298,527,56.5,3787,29,5.5,19,3.6,78,7.2,6.7,12.7,236.7,82.5,59.52,14,109,6.8,6.29,2.6,2,2,2007
9,Tony Romo*,DAL,27,QB,16,16,13-3-0,335,520,64.4,4211,36,6.9,19,3.7,59,8.1,7.8,12.6,263.2,97.4,66.54,24,176,7.42,7.17,4.4,2,2,2007
10,Peyton Manning*,IND,31,QB,16,16,13-3-0,337,515,65.4,4040,31,6,14,2.7,73,7.8,7.8,12,252.5,98,72.97,21,124,7.31,7.29,3.9,1,2,2007
11,Donovan McNabb,PHI,31,QB,14,14,8/6/2000,291,473,61.5,3324,19,4,7,1.5,75,7,7.2,11.4,237.4,89.9,50.65,44,227,5.99,6.12,8.5,1,1,2007
12,Jay Cutler,DEN,24,QB,16,16,7/9/2000,297,467,63.6,3497,20,4.3,14,3,68,7.5,7,11.8,218.6,88.1,55.1,27,153,6.77,6.3,5.5,2,3,2007
13,Philip Rivers,SDG,26,QB,16,16,11/5/2000,277,460,60.2,3152,21,4.6,15,3.3,49,6.9,6.3,11.4,197,82.4,44.61,22,163,6.2,5.67,4.6,1,1,2007
14,Kurt Warner,ARI,36,QB,14,11,5/6/2000,281,451,62.3,3417,27,6,17,3.8,62,7.6,7.1,12.2,244.1,89.8,58.31,20,140,6.96,6.48,4.2,1,1,2007
15,Jason Campbell,WAS,26,QB,13,13,6/7/2000,250,417,60,2700,12,2.9,11,2.6,54,6.5,5.9,10.8,207.7,77.6,53.07,21,110,5.91,5.33,4.8,1,2,2007
16,Ben Roethlisberger*,PIT,25,QB,15,15,10/5/2000,264,404,65.3,3154,32,7.9,11,2.7,83,7.8,8.2,11.9,210.3,104.1,69.31,47,347,6.22,6.55,10.4,1,2,2007
