
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Rk,,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Curtis Martin*+,NYJ,31,RB,16,16,371,1697,12,25,4.6,106.1,23.2,49,41,245,6.0,2,22,2.6,15.3,1942,14,2
2,Rudi Johnson*,CIN,25,RB,16,16,361,1454,12,52,4.0,90.9,22.6,28,15,84,5.6,0,30,0.9,5.3,1538,12,4
3,Shaun Alexander*,SEA,27,RB,16,16,353,1696,16,44,4.8,106.0,22.1,38,23,170,7.4,4,24,1.4,10.6,1866,20,5
4,Corey Dillon*,NWE,30,RB,15,14,345,1635,12,44,4.7,109.0,23.0,21,15,103,6.9,1,20,1.0,6.9,1738,13,5
5,Clinton Portis,WAS,23,RB,15,15,343,1315,5,64,3.8,87.7,22.9,57,40,235,5.9,2,18,2.7,15.7,1550,7,5
6,LaDainian Tomlinson*+,SDG,25,RB,15,15,339,1335,17,42,3.9,89.0,22.6,66,53,441,8.3,1,74,3.5,29.4,1776,18,6
7,Edgerrin James*,IND,26,RB,16,16,334,1548,9,40,4.6,96.8,20.9,60,51,483,9.5,0,56,3.2,30.2,2031,9,6
8,Tiki Barber*,NYG,29,RB,16,14,322,1518,13,72,4.7,94.9,20.1,79,52,578,11.1,2,62,3.3,36.1,2096,15,5
9,Domanick Williams,HOU,24,RB,15,15,302,1188,13,44,3.9,79.2,20.1,84,68,588,8.6,1,38,4.5,39.2,1776,14,4
10,Willis McGahee,BUF,23,RB,16,11,284,1128,13,41,4.0,70.5,17.8,36,22,169,7.7,0,16,1.4,10.6,1297,13,4
11,Reuben Droughns,DEN,26,RB,16,15,275,1240,6,51,4.5,77.5,17.2,44,32,241,7.5,2,23,2.0,15.1,1481,8,5
12,Deuce McAllister,NOR,26,RB,14,14,269,1074,9,71,4.0,76.7,19.2,48,34,228,6.7,0,20,2.4,16.3,1302,9,5
13,Emmitt Smith,ARI,35,RB,15,15,267,937,9,29,3.5,62.5,17.8,20,15,105,7.0,0,18,1.0,7.0,1042,9,4
14,Warrick Dunn,ATL,29,RB,16,16,265,1106,9,60,4.2,69.1,16.6,39,29,294,10.1,0,59,1.8,18.4,1400,9,3
15,Fred Taylor,JAX,28,RB,14,14,260,1224,2,46,4.7,87.4,18.6,58,36,345,9.6,1,64,2.6,24.6,1569,3,3
16,Ahman Green*,GNB,27,RB,15,15,259,1163,7,90,4.5,77.5,17.3,51,40,275,6.9,1,48,2.7,18.3,1438,8,7
17,Jerome Bettis*,PIT,32,rb,15,6,250,941,13,29,3.8,62.7,16.7,8,6,46,7.7,0,20,0.4,3.1,987,13,1
18,Kevan Barlow,SFO,25,RB,15,14,244,822,7,60,3.4,54.8,16.3,45,35,212,6.1,0,15,2.3,14.1,1034,7,2
