name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_ret,puntret_tds,receiving_lng,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,3,1,6,1,-4,,,,,,,,,,,,,,506,337,12,26,0,0,4328,,,,,,,,,,,,,,,,41,83,2,0,0,79
R.Mendenhall,00-0026163,no,PIT,,,,,,,3,1,3,1,0,,,,,,,,,,8,8,1,0,,,,,,,,,,,,,,,,,173,25,1,0,0,261,242,324,7,0,0,1108
W.Parker,00-0022250,no,PIT,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,6,1,0,0,64,98,150,0,0,0,389
M.Moore,00-0022217,no,PIT,,,,,,,,,,,,,,,,,,,,,23,25,4,0,1,1,0,1,0,0,6,,,,,,3,3,3,0,84,21,2,0,0,153,35,83,0,0,0,118
S.Holmes,00-0024240,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,,3,3,2,0,449,79,5,0,0,1248,3,6,0,0,0,6
M.Wallace,00-0026901,no,PIT,WR,,,,,,1,0,1,0,0,,,,,,,,,,26,26,1,0,,,,,,,,,,,,,,,,,486,39,6,0,0,756,5,42,0,0,0,48
H.Ward,00-0017162,no,PIT,,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,95,6,0,0,1167,,,,,,
H.Miller,00-0023465,no,PIT,TE,,,,,,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,76,6,0,0,789,,,,,,
K.Fox,00-0022697,no,PIT,,8,0,1,0,18,0,0,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Reed,00-0020737,no,PIT,,,,,,,,,,,,31,27,486,81,41,0,41,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Sepulveda,00-0025499,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,29,815,72,3074,,,,,,,,,,,,,,,,
S.Logan,00-0026491,no,PIT,,,,,,,2,0,3,0,0,,,,,,,,,,401,579,55,0,,,,,,,,,,,,,131,195,30,0,5,1,0,0,0,5,,,,,,
D.Townsend,00-0016577,no,PIT,,3,0,1,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Polamalu,00-0022119,no,PIT,,2,0,3,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Hoke,00-0019940,no,PIT,,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Mundy,00-0026334,no,PIT,SS,1,0,0,0,5,1,1,1,1,0,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Smith,00-0015080,no,PIT,,3,0,0,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Farrior,00-0005082,no,PIT,,34,1,1,3,68,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Gay,00-0025557,no,PIT,CB,9,1,0,1.5,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Keisel,00-0021344,no,PIT,,18,1,0,3,36,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Harrison,00-0020712,no,PIT,OLB,19,5,0,10,60,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,,,,,,,,,
R.Clark,00-0020840,no,PIT,,20,0,3,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Carter,00-0019537,no,PIT,,12,1,2,0,49,0,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
